Date,OriginCityName,CRSDepTime,DepTime,DepDelay
2015-06-07,Los Angeles,900,855.0,-5.0
2015-06-08,Los Angeles,900,909.0,9.0
2015-06-09,Los Angeles,900,857.0,-3.0
2015-06-10,Los Angeles,900,854.0,-6.0
2015-06-11,Los Angeles,900,853.0,-7.0
2015-06-12,Los Angeles,900,859.0,-1.0
2015-06-13,Los Angeles,900,854.0,-6.0
2015-06-14,Los Angeles,900,855.0,-5.0
2015-06-15,Los Angeles,900,904.0,4.0
2015-06-16,Los Angeles,900,858.0,-2.0
2015-06-17,Los Angeles,900,900.0,0.0
2015-06-18,Los Angeles,900,858.0,-2.0
2015-06-19,Los Angeles,900,856.0,-4.0
2015-06-20,Los Angeles,900,1258.0,238.0
2015-06-21,Los Angeles,900,852.0,-8.0
2015-06-22,Los Angeles,900,859.0,-1.0
2015-06-23,Los Angeles,900,1139.0,159.0
2015-06-24,Los Angeles,900,855.0,-5.0
2015-06-25,Los Angeles,900,858.0,-2.0
2015-06-26,Los Angeles,900,857.0,-3.0
2015-06-27,Los Angeles,900,937.0,37.0
2015-06-28,Los Angeles,900,855.0,-5.0
2015-06-29,Los Angeles,900,901.0,1.0
2015-06-30,Los Angeles,900,902.0,2.0
2015-07-01,Los Angeles,900,853.0,-7.0
2015-07-03,Los Angeles,900,855.0,-5.0
2015-07-05,Los Angeles,900,857.0,-3.0
2015-07-06,Los Angeles,900,859.0,-1.0
2015-07-07,Los Angeles,900,859.0,-1.0
2015-07-08,Los Angeles,900,858.0,-2.0
2015-07-09,Los Angeles,900,904.0,4.0
2015-07-10,Los Angeles,900,854.0,-6.0
2015-07-11,Los Angeles,900,855.0,-5.0
2015-07-12,Los Angeles,900,900.0,0.0
2015-07-13,Los Angeles,900,900.0,0.0
2015-07-14,Los Angeles,900,910.0,10.0
2015-07-15,Los Angeles,900,901.0,1.0
2015-07-16,Los Angeles,900,1146.0,166.0
2015-07-17,Los Angeles,900,900.0,0.0
2015-07-18,Los Angeles,900,909.0,9.0
2015-07-19,Los Angeles,900,856.0,-4.0
2015-07-20,Los Angeles,900,852.0,-8.0
2015-07-21,Los Angeles,900,857.0,-3.0
2015-07-22,Los Angeles,900,944.0,44.0
2015-07-23,Los Angeles,900,857.0,-3.0
